# generated by run.sh -- do not hand-edit
# date: 2026-09-06T02:55:40Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sortedbacking
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBuildSequential/btree/512-23   	   13689	     17564 ns/op	        34.30 ns/insert	   40400 B/op	      67 allocs/op
BenchmarkBuildSequential/btree/512-23   	   13603	     17578 ns/op	        34.33 ns/insert	   40400 B/op	      67 allocs/op
BenchmarkBuildSequential/btree/512-23   	   13988	     17337 ns/op	        33.86 ns/insert	   40400 B/op	      67 allocs/op
BenchmarkBuildSequential/btree/512-23   	   13724	     17510 ns/op	        34.20 ns/insert	   40400 B/op	      67 allocs/op
BenchmarkBuildSequential/btree/512-23   	   14119	     16703 ns/op	        32.62 ns/insert	   40400 B/op	      67 allocs/op
BenchmarkBuildSequential/btree/512-23   	   14379	     16635 ns/op	        32.49 ns/insert	   40400 B/op	      67 allocs/op
BenchmarkBuildSequential/btree/512-23   	   13630	     17568 ns/op	        34.31 ns/insert	   40400 B/op	      67 allocs/op
BenchmarkBuildSequential/btree/512-23   	   13860	     17351 ns/op	        33.89 ns/insert	   40400 B/op	      67 allocs/op
BenchmarkBuildSequential/btree/512-23   	   13851	     17424 ns/op	        34.03 ns/insert	   40400 B/op	      67 allocs/op
BenchmarkBuildSequential/slice/4096-23  	    2962	     79030 ns/op	        19.29 ns/insert	   98328 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/4096-23  	    3123	     76611 ns/op	        18.70 ns/insert	   98328 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/4096-23  	    3262	     76008 ns/op	        18.56 ns/insert	   98328 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/4096-23  	    2961	     77138 ns/op	        18.83 ns/insert	   98328 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/4096-23  	    3123	     76459 ns/op	        18.67 ns/insert	   98328 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/4096-23  	    3008	     76932 ns/op	        18.78 ns/insert	   98328 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/4096-23  	    3043	     76656 ns/op	        18.71 ns/insert	   98328 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/4096-23  	    2998	     76947 ns/op	        18.79 ns/insert	   98328 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/4096-23  	    3194	     74664 ns/op	        18.23 ns/insert	   98328 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/4096-23  	    3175	     75879 ns/op	        18.53 ns/insert	   98328 B/op	       2 allocs/op
BenchmarkBuildSequential/btree/4096-23  	    1371	    172509 ns/op	        42.12 ns/insert	  315528 B/op	     422 allocs/op
BenchmarkBuildSequential/btree/4096-23  	    1372	    174790 ns/op	        42.67 ns/insert	  315528 B/op	     422 allocs/op
BenchmarkBuildSequential/btree/4096-23  	    1387	    175012 ns/op	        42.73 ns/insert	  315528 B/op	     422 allocs/op
BenchmarkBuildSequential/btree/4096-23  	    1393	    177312 ns/op	        43.29 ns/insert	  315528 B/op	     422 allocs/op
BenchmarkBuildSequential/btree/4096-23  	    1395	    176028 ns/op	        42.98 ns/insert	  315528 B/op	     422 allocs/op
